,,Recovery State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SILENCER,2,1,3,0,8,3,7,0,0,10,2,0,0,0,0,2,1,0,0,2,4,4,0,1,0,2,0,1,0,2,0,1,1,1,0,0,2,3,0,1,0,0,0,0,1,6,0,0,0,0,1,0,0,0,72
,ANY OTHER WEAPON,2,1,1,0,41,2,1,0,0,4,6,0,2,2,1,3,0,0,1,0,0,3,0,2,8,0,2,0,1,0,0,3,0,2,2,0,3,0,0,1,1,0,0,0,4,7,0,1,0,1,5,0,14,1,128
,DESTRUCTIVE DEVICE,0,1,3,0,2,6,1,0,0,11,2,0,0,2,2,2,0,2,1,3,0,1,1,1,1,2,1,0,0,0,1,0,0,6,1,0,3,0,2,3,0,0,0,0,0,3,0,0,0,1,3,0,1,0,69
,FLARE GUN,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15
,TEAR GAS LAUNCHER,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,TOTAL,5535,1010,7376,2941,32343,3003,809,1029,1331,18662,11052,51,203,833,10915,5949,1275,2260,3262,6975,436,7977,1571,6802,2636,1958,4783,537,2083,3369,175,3834,1539,8539,11371,255,10593,1609,3606,9459,820,307,4307,184,7290,15361,160,1260,262,7360,3954,903,3465,170,245749
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"- Includes Firearms Recovered and Traced between 1/1/2013 - 12/31/2013, or, if the recovery date was blank, the trace entry date was between 1/1/2013 - 12/31/2013. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"- Duplicate traces, Firearms Not Recovered, Gun Buyback and Firearms Turned In are not included in the statistics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"- Statistics are based on a query of the Firearms Tracing System (FTS) on May 1, 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,- All traces may not have been submitted or completed at the time of this analysis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
